DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2011-2012 OVERALL GRADE,2011-2012 OVERALL SCORE,2011-12 OVERALL PERCENTILE,2011-2012 PROGRESS CATEGORY SCORE,2011-2012 PROGRESS GRADE,2011-2012 PERFORMANCE CATEGORY SCORE,2011-2012 PERFORMANCE GRADE,2011-2012 ENVIRONMENT CATEGORY SCORE,2011-2012 ENVIRONMENT GRADE,2011-2012 COLLEGE AND CAREER READINESS SCORE,2011-2012 COLLEGE AND CAREER READINESS GRADE,2011-2012 ADDITIONAL CREDIT,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
26Q098,26,P.S. 098 The Douglaston School,Sheila Huggins,EMS,Elementary,7.71,B,54.6,52.0,27.2,C,17.8,A,7.2,C,,,2.4,B,B
26Q115,26,P.S. 115 Glen Oaks,James Ambrose,EMS,Elementary,17.45,B,61.0,66.6,32.5,B,17.1,A,8.4,B,,,3.0,C,B
26Q133,26,P.S. 133 Queens,Marianne Sheridan,EMS,Elementary,25.01,A,72.3,89.5,35.7,B,20.2,A,11.7,A,,,4.7,A,A
26Q158,26,M.S. 158 Marie Curie,Marie Nappi,EMS,Middle,3.36,B,64.4,72.4,34.4,B,18.4,A,8.4,B,,,3.2,B,B
26Q159,26,P.S. 159,Paul Didio,EMS,Elementary,19.49,A,68.0,82.3,30.7,B,22.4,A,11.4,A,,,3.5,A,A
26Q162,26,P.S. 162 John Golden,Joan Casale,EMS,Elementary,13.61,B,60.9,66.4,29.5,C,19.4,A,10.5,A,,,1.5,B,B
26Q172,26,Irwin Altman Middle School 172,Jeffrey Slivko,EMS,Middle,3.26,B,55.6,51.7,28.3,C,18.6,A,5.5,C,,,3.2,A,B
26Q173,26,P.S. 173 Fresh Meadows,Molly Wang,EMS,Elementary,15.65,B,62.7,71.0,32.6,B,18.9,A,8.9,B,,,2.3,A,A
26Q178,26,P.S./ IS 178 Holliswood,Jennifer Ambert,EMS,K-8,15.77,C,42.5,20.6,17.7,F,15.9,B,6.4,C,,,2.5,A,B
26Q186,26,P.S. 186 Castlewood,Dolores Troy-Quinn,EMS,Elementary,24.97,A,77.4,93.9,40.3,A,21.3,A,12.3,A,,,3.5,A,B
26Q188,26,P.S. 188 Kingsbury,Janet Caraisco,EMS,Elementary,9.52,A,70.0,86.7,34.8,B,23.6,A,9.4,B,,,2.2,A,A
26Q191,26,P.S. 191 Mayflower,Michael Ranieri,EMS,Elementary,15.75,A,66.6,79.3,31.1,B,18.7,A,13.5,A,,,3.3,A,A
26Q203,26,P.S. 203 Oakland Gardens,Carole Nussbaum,EMS,Elementary,11.91,A,74.3,91.5,36.7,B,22.4,A,12.1,A,,,3.1,A,A
26Q205,26,P.S. 205 Alexander Graham Bell,Karen Scott-Piazza,EMS,Elementary,18.21,A,73.5,90.8,44.0,A,21.2,A,5.2,D,,,3.0,A,A
26Q213,26,P.S. 213 The Carl Ullman School,Kathleen Driscoll,EMS,Elementary,16.69,A,65.6,77.4,33.4,B,18.9,A,10.5,A,,,2.7,A,A
26Q216,26,J.H.S. 216 George J. Ryan,Reginald Landeau,EMS,Middle,3.30,B,63.6,70.7,38.7,B,17.6,A,4.3,D,,,3.0,B,A
26Q221,26,P.S. 221 The North Hills School,Patricia Bullard,EMS,Elementary,13.21,A,77.9,94.4,39.7,A,22.2,A,13.1,A,,,2.9,B,A
26Q266,26,P.S. / I.S. 266,Nicole Scott,EMS,K-8,18.12,B,55.0,53.8,25.6,C,16.6,A,9.2,B,,,3.6,A,B
27Q042,27,P.S. 042 R. Vernam,Patricia Finn,EMS,K-8,62.53,C,44.6,26.3,26.0,C,8.7,D,5.6,C,,,4.3,C,C
27Q043,27,P.S. 043,Gary Fairweather,EMS,K-8,58.58,C,46.2,29.4,24.9,C,10.7,C,7.1,C,,,3.5,C,C
27Q045,27,P.S. 045 Clarence Witherspoon,Samantha Severin,EMS,Elementary,53.34,B,64.2,74.1,41.5,A,15.3,B,5.2,D,,,2.2,B,B
27Q047,27,P.S. 047 Chris Galas,Janet Donohue,EMS,K-8,17.36,B,61.2,68.8,27.0,C,18.2,A,10.8,A,,,5.1,B,A
27Q053,27,M.S. 053 Brian Piccolo,Shawn Rux,EMS,Middle,2.07,C,41.2,16.9,22.5,C,9.8,C,5.7,C,,,3.2,F,C
27Q056,27,P.S. 056 Harry Eichler,Ann Leiter,EMS,Elementary,35.11,C,38.2,13.8,17.6,D,10.6,C,8.1,B,,,1.9,B,B
27Q060,27,P.S. 060 Woodhaven,Frank Desario,EMS,Elementary,48.67,A,80.5,96.2,47.2,A,22.6,A,6.7,C,,,4.0,A,A
27Q062,27,P.S. 062 Chester Park,Angela O'dowd,EMS,Elementary,27.93,C,48.0,35.6,23.5,C,14.7,B,8.9,B,,,0.9,A,C
27Q063,27,P.S. 063 Old South,Diane Marino Coleman,EMS,Elementary,40.92,B,60.8,66.2,33.5,B,17.6,A,6.5,C,,,3.2,B,A
27Q064,27,P.S. 064 Joseph P. Addabbo,Nina Auster,EMS,Elementary,36.50,A,66.5,79.0,37.4,B,15.6,B,11.3,A,,,2.2,A,C
27Q065,27,P.S. 65 - The Raymond York Elementary School,Rafael Morales,EMS,Elementary,38.61,B,57.8,59.7,32.5,B,12.8,B,9.8,A,,,2.7,B,C
27Q066,27,P.S. 066 Jacqueline Kennedy Onassis,Phyllis Leinwand,EMS,Elementary,49.42,A,96.7,99.3,56.2,A,24.5,A,11.0,A,,,5.0,A,A
27Q090,27,P.S. 090 Horace Mann,Adrienne Ubertini,EMS,Elementary,44.16,A,68.9,85.1,40.3,A,16.7,A,7.8,B,,,4.1,B,B
27Q096,27,P.S. 096,Joyce Walker,EMS,Elementary,36.88,B,63.3,71.8,39.3,A,10.6,C,10.1,A,,,3.3,C,B
27Q097,27,P.S. 097 Forest Park,Marilyn Custodio,EMS,Elementary,48.45,A,68.1,82.8,38.8,A,19.7,A,7.2,C,,,2.4,B,A
27Q100,27,P.S. 100 Glen Morris,Laureen Fromberg,EMS,Elementary,33.72,C,43.5,22.3,19.9,D,12.7,B,8.0,B,,,2.9,B,B
27Q104,27,P.S. 104 The Bays Water,Katie Grady,EMS,Elementary,57.57,B,56.7,57.7,30.6,B,13.3,B,9.9,A,,,2.8,B,C
27Q105,27,P.S. 105 The Bay School,Laurie Shapiro,EMS,K-8,58.81,B,53.4,48.1,27.7,C,10.8,C,10.5,A,,,4.4,C,C
27Q106,27,P.S. 106,Marcella Sills,EMS,Elementary,59.19,B,63.4,72.1,34.6,B,20.0,A,5.9,C,,,2.9,A,B
27Q108,27,P.S. 108 Captain Vincent G. Fowler,Marie Biondollilo,EMS,Elementary,30.78,B,52.5,46.2,21.9,C,20.4,A,8.4,B,,,1.8,A,A
27Q114,27,P.S. / M.S. 114 Belle Harbor,Stephen P. Grill,EMS,K-8,10.64,C,45.3,26.9,18.2,D,14.9,B,8.9,B,,,3.3,B,B
27Q123,27,P.S. 123,Cynthia Sumay-Eaton,EMS,Elementary,52.47,B,56.0,56.2,31.1,B,13.2,B,7.7,B,,,4.0,C,B
27Q124,27,P.S. 124 Osmond A Church,Valarie Lewis,EMS,K-8,34.97,A,66.1,80.6,31.3,B,19.3,A,12.2,A,,,3.3,B,C
27Q137,27,M.S. 137 America's School of Heroes,Laura Mastrogiovanni,EMS,Middle,3.00,C,51.1,38.4,29.1,C,14.6,B,5.7,C,,,1.7,B,B
27Q146,27,P.S. 146 Howard Beach,James Mckeon,EMS,K-8,27.14,B,54.0,50.6,26.9,C,13.8,B,8.4,B,,,4.8,B,B
27Q155,27,P.S. 155,Dorothy Morris,EMS,Elementary,41.10,C,36.0,10.3,11.7,F,12.3,C,10.8,A,,,1.2,B,C
27Q183,27,P.S. 183 Dr. Richard R. Green,Renee Peart,EMS,K-8,57.65,C,42.2,18.8,20.1,D,10.2,C,8.4,B,,,3.5,A,B
27Q197,27,P.S. 197 The Ocean School,Christina Villavicencio,EMS,Elementary,60.59,D,31.6,5.6,17.6,D,5.9,F,5.9,C,,,2.2,C,A
27Q202,27,J.H.S. 202 Robert H. Goddard,William Fitzgerald,EMS,Middle,2.90,B,58.5,58.3,29.7,C,16.7,A,9.6,B,,,2.5,B,B
27Q207,27,P.S. 207 Rockwood Park,Linda Spadaro,EMS,K-8,18.76,C,47.3,32.5,21.1,D,15.9,B,7.8,B,,,2.5,C,A
27Q210,27,J.H.S. 210 Elizabeth Blackwell,Rosalyn Allman-Manning,EMS,Middle,2.90,C,50.2,35.9,27.6,C,14.8,B,4.7,D,,,3.0,C,C
27Q215,27,P.S. 215 Lucretia Mott,Susan Rippe Hofmann,EMS,Elementary,62.44,,.,.,.,,.,,.,,,,.,F,D
27Q223,27,P.S. 223 Lyndon B. Johnson,Deborah Otto,EMS,Elementary,53.38,C,40.6,17.1,19.5,D,8.8,D,11.0,A,,,1.3,D,B
27Q226,27,J.H.S. 226 Virgil I. Grissom,Rushell White,EMS,Middle,2.61,C,37.5,11.3,18.6,D,12.2,C,4.4,D,,,2.3,C,C
27Q232,27,P.S. 232 Lindenwood,Lisa Josephson,EMS,K-8,28.94,B,57.3,60.6,25.4,C,17.7,A,11.5,A,,,2.7,B,A
27Q253,27,P.S. 253,Robin Johnson,EMS,Elementary,58.87,C,44.1,23.4,21.2,D,10.5,C,10.0,A,,,2.4,D,C
27Q254,27,P.S. 254,Naomi Drouillard,EMS,Elementary,47.88,A,76.3,93.1,35.7,B,24.3,A,12.9,A,,,3.3,A,A
27Q262,27,Channel View School for Research,Patricia J. Tubridy,EMS,Middle,2.94,B,52.4,43.4,24.5,C,14.6,B,11.3,A,,,2.0,C,B
27Q282,27,Knowledge and Power Preparatory Academy VI,Gary Dumornay,EMS,Middle,2.82,A,77.9,90.6,43.4,A,19.0,A,12.5,A,,,3.0,A,C
27Q306,27,New York City Academy for Discovery,Jennifer Flandro,EMS,Elementary,49.04,C,46.5,30.7,15.2,F,18.7,A,10.8,A,,,1.8,A,.
27Q309,27,Academy of Medical Technology: A College Board S,Jose Merced,EMS,Middle,2.44,C,36.3,10.2,14.1,D,11.3,C,7.2,C,,,3.6,B,D
27Q317,27,WATERSIDE CHILDREN'S STUDIO SCHOOL,Dana Gerendasi,EMS,Elementary,52.48,B,60.8,66.2,33.5,B,12.5,B,11.8,A,,,3.0,A,.
27Q318,27,WATERSIDE SCHOOL FOR LEADERSHIP,Linda Munro,EMS,Middle,2.15,C,48.5,32.6,24.2,C,13.3,B,8.0,B,,,3.0,B,.
27Q319,27,VILLAGE ACADEMY,Doris Lee,EMS,Middle,2.18,B,55.9,52.8,27.6,C,12.1,C,13.0,A,,,3.2,B,.
27Q323,27,Scholars' Academy,Brian O'connell,EMS,Middle,3.92,A,72.8,84.5,36.6,B,22.7,A,12.4,A,,,1.1,A,A
27Q333,27,Goldie Maple Academy,Angela Logan,EMS,K-8,49.26,C,37.6,10.0,10.8,F,11.5,C,13.1,A,,,2.2,A,C
28Q008,28,J.H.S. 008 Richard S. Grossley,Angela Green,EMS,Middle,2.21,C,43.5,21.3,24.3,C,12.4,C,3.9,D,,,2.9,C,C
28Q030,28,P.S. 030 Queens,Dwayne Crowder,EMS,Elementary,58.27,,.,.,.,,.,,.,,,,.,.,D
28Q040,28,P.S. 040 Samuel Huntington,Alison Branker,EMS,Elementary,58.85,D,34.8,8.9,17.8,D,7.2,D,8.1,B,,,1.6,B,D
28Q048,28,P.S. 048 William Wordsworth,Patricia M. Mitchell,EMS,Elementary,54.87,C,49.7,39.0,28.4,C,9.6,C,8.8,B,,,2.9,D,C
28Q050,28,P.S. 050 Talfourd Lawn Elementary School,Rina Manjarrez,EMS,Elementary,49.43,B,63.1,71.5,34.5,B,19.6,A,6.0,C,,,3.0,B,B
28Q054,28,P.S. 054 Hillside,Anita Prashad,EMS,Elementary,42.62,B,61.6,67.7,38.3,B,12.1,C,7.2,C,,,4.0,C,C
28Q055,28,P.S. 055 Maure,Ralph K Honore,EMS,Elementary,37.06,D,34.0,7.7,18.5,D,6.3,F,7.3,C,,,1.9,A,C
28Q072,28,Catherine & Count Basie Middle School 72,Crystal Taylor Brown,EMS,Middle,2.42,C,42.9,18.8,21.3,D,13.2,B,5.4,C,,,3.0,C,C
28Q080,28,P.S. 080 Thurgood Marshall Magnet,Paulette Glenn,EMS,Elementary,56.38,B,55.1,53.6,30.0,B,13.0,B,8.7,B,,,3.4,F,C
28Q082,28,P.S. 082 Hammond,Dr. Angela Boykin,EMS,Elementary,48.21,B,55.5,54.3,33.6,B,11.1,C,7.8,B,,,3.0,C,B
28Q086,28,P.S. Q086,Karen Zuvic,EMS,Elementary,44.18,C,49.7,39.0,30.9,B,8.6,D,6.4,C,,,3.8,C,B
28Q099,28,P.S. 099 Kew Gardens,Paulette Foglio,EMS,Elementary,32.33,A,66.1,78.5,36.4,B,19.6,A,7.6,B,,,2.5,A,A
28Q101,28,P.S. 101 School in the Gardens,Valerie Capitulo-Saide,EMS,Elementary,12.53,C,45.1,25.7,24.0,C,13.0,B,6.6,C,,,1.5,C,B
28Q117,28,P.S. 117 J. Keld / Briarwood School,Paula Cunningham,EMS,Elementary,33.71,B,52.8,47.4,31.8,B,12.9,B,5.9,C,,,2.2,C,B
28Q121,28,P.S. 121 Queens,Evelyn Vadi,EMS,Elementary,32.06,A,69.3,85.4,37.8,B,21.4,A,7.3,C,,,2.8,B,A
28Q139,28,P.S. 139 Rego Park,Monica Bridget Powers-Meade,EMS,Elementary,27.83,B,56.9,58.0,32.6,B,16.7,A,5.7,C,,,1.9,B,C
28Q140,28,P.S. 140 Edward K Ellington,David Norment,EMS,Elementary,56.33,F,21.0,0.5,9.9,F,6.2,F,3.2,F,,,1.7,C,C
28Q144,28,P.S. 144 Col Jeromus Remsen,Reva Gluck Schneider,EMS,Elementary,17.90,B,62.9,71.3,35.7,B,14.6,B,10.1,A,,,2.5,A,B
28Q157,28,J.H.S. 157 Stephen A. Halsey,Vincent Suraci,EMS,Middle,2.94,A,67.8,77.6,38.8,B,17.6,A,8.1,B,,,3.3,B,A
28Q160,28,P.S. 160 Walter Francis Bishop,Jermaine Garden,EMS,Elementary,51.37,C,47.7,34.3,30.4,B,9.4,C,5.1,D,,,2.8,C,B
28Q161,28,P.S. 161 Arthur Ashe School,Jill Hoder,EMS,Elementary,29.10,B,59.2,62.3,31.5,B,17.3,A,8.3,B,,,2.1,A,A
28Q167,28,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,Damon Mccord,EMS,Middle,2.89,A,71.3,83.7,36.3,B,20.1,A,12.3,A,,,2.6,.,.
28Q174,28,P.S. 174 William Sidney Mount,Karin Kelly,EMS,Elementary,19.06,B,55.0,53.1,31.6,B,16.3,A,5.3,C,,,1.7,C,B
28Q175,28,P.S. 175 The Lynn Gross Discovery School,Linda Green,EMS,Elementary,21.30,B,56.7,57.7,31.3,B,13.9,B,8.2,B,,,3.3,B,A
28Q190,28,J.H.S. 190 Russell Sage,Marilyn Grant,EMS,Middle,2.94,B,56.6,53.9,30.9,C,17.2,A,5.5,C,,,2.9,B,C
28Q196,28,P.S. 196 Grand Central Parkway,Susan Migliano,EMS,Elementary,12.57,A,67.2,81.0,35.5,B,19.4,A,10.9,A,,,1.3,A,A
28Q206,28,P.S. 206 The Horace Harding School,Joan Thomas,EMS,Elementary,39.31,D,34.8,8.9,14.5,F,10.0,C,8.8,B,,,1.5,B,C
28Q217,28,J.H.S. 217 Robert A. Van Wyck,Patrick Michael Burns,EMS,Middle,2.66,B,65.4,74.9,38.6,B,17.1,A,6.7,C,,,3.0,A,B
28Q220,28,P.S. 220 Edward Mandel,Josette Pizarro,EMS,Elementary,33.43,C,48.0,35.6,31.5,B,6.5,D,6.5,C,,,3.5,C,A
28Q284,28,York Early College Academy,Deborah Burnett,EMS,Middle,3.07,C,50.3,36.5,22.1,C,16.2,B,9.3,B,,,2.6,C,B
28Q310,28,Queens Collegiate: A College Board School,Jaime Anne Dubei,EMS,Middle,2.87,C,44.6,23.2,21.3,D,13.6,B,8.3,B,,,1.4,C,.
28Q680,28,Queens Gateway to Health Sciences Secondary Scho,Dr. Cynthia Edwards,EMS,Middle,3.62,B,61.2,64.6,33.6,B,19.0,A,7.4,C,,,1.2,C,B
28Q896,28,"Young Women's Leadership School, Queens",Avionne Gumbs,EMS,Middle,3.04,C,34.7,9.1,15.9,D,12.8,C,4.6,D,,,1.4,C,C
29Q015,29,P.S. 015 Jackie Robinson,Antonio K'tori,EMS,Elementary,48.42,C,45.8,28.2,22.2,C,11.3,C,10.5,A,,,1.7,B,C
29Q033,29,P.S. 033 Edward M. Funk,Erich Wagner,EMS,Elementary,31.68,C,37.0,11.6,12.6,F,12.4,B,10.2,A,,,1.8,C,C
29Q034,29,P.S. 034 John Harvard,Pauline Shakespeare,EMS,Elementary,53.15,B,56.0,56.2,26.4,C,17.4,A,9.4,B,,,2.8,A,B
29Q035,29,P.S. 035 Nathaniel Woodhull,Mark Dempsey,EMS,Elementary,44.89,C,44.9,25.4,25.6,C,12.4,B,4.9,D,,,2.0,D,D
29Q036,29,P.S. 036 Saint Albans School,Lynn Staton,EMS,Elementary,55.02,C,45.7,28.0,23.2,C,10.6,C,9.3,B,,,2.5,B,D
29Q037,29,Cynthia Jenkins School,Beverly Mitchell,EMS,Elementary,54.95,D,34.0,7.7,18.3,D,7.2,D,6.9,C,,,1.6,B,C
29Q038,29,P.S. 038 Rosedale,Cassandra A. Hundley,EMS,Elementary,53.94,B,53.8,50.3,30.7,B,10.0,C,10.8,A,,,2.3,C,B
29Q052,29,P.S. 052 Queens,Linda Pough,EMS,Elementary,57.88,C,49.5,38.2,25.0,C,13.8,B,8.0,B,,,2.7,B,A
29Q059,29,I.S. 059 Springfield Gardens,Carleton Gordon,EMS,Middle,2.53,C,40.1,15.5,23.2,C,10.7,C,4.0,D,,,2.2,C,C
29Q095,29,P.S. 095 Eastwood,Kim Hill,EMS,Elementary,42.37,A,64.8,75.4,38.3,B,13.4,B,10.3,A,,,2.8,B,B
29Q109,29,Jean Nuzzi Intermediate School,Karleen Adam Comrie,EMS,Middle,2.79,B,52.5,43.9,27.8,C,15.1,B,7.2,C,,,2.4,C,C
29Q116,29,PS/IS 116 William C. Hughley,Debra Farrow,EMS,K-8,55.57,B,52.1,40.6,29.3,C,10.1,C,10.0,A,,,2.6,C,C
29Q118,29,P.S. 118 Lorraine Hansberry,Cynthia Ofori-Feaster,EMS,Elementary,53.15,C,36.1,10.7,22.5,C,8.6,D,1.8,F,,,3.2,C,C
29Q131,29,P.S. 131 Abigail Adams,Randolph Ford,EMS,Elementary,28.46,B,63.7,72.6,32.7,B,18.2,A,10.5,A,,,2.2,A,B
29Q132,29,P.S. 132 Ralph Bunche,Alicia Davis,EMS,Elementary,47.61,D,30.3,4.8,11.3,F,8.6,D,9.5,B,,,0.9,C,C
29Q134,29,P.S. 134 Hollis,Robert Chambers,EMS,Elementary,53.85,B,51.6,42.8,32.1,B,9.3,C,7.6,B,,,2.6,C,B
29Q135,29,The Bellaire School,George Hadjoglou,EMS,Elementary,37.49,C,47.6,34.1,23.2,C,14.6,B,8.1,B,,,1.7,B,C
29Q136,29,P.S. 136 Roy Wilkins,Tanya S.T. Walker,EMS,Elementary,52.39,C,46.7,31.6,25.1,C,12.7,B,6.5,C,,,2.4,B,B
29Q138,29,P.S. 138 Sunrise,James Mc Enaney,EMS,K-8,50.11,D,30.0,3.8,13.5,F,9.1,D,5.8,C,,,1.6,C,C
29Q147,29,PS/MS 147 Ronald McNair,Anne Cohen,EMS,K-8,48.02,C,37.9,10.6,18.7,D,9.7,C,7.3,C,,,2.2,C,D
29Q156,29,P.S. 156 Laurelton,Noreen Little,EMS,K-8,49.11,D,34.8,7.5,21.1,D,7.5,D,4.1,F,,,2.1,C,C
29Q176,29,P.S. 176 Cambria Heights,Arlene Bartlett,EMS,Elementary,43.52,C,44.6,24.8,14.7,F,18.7,A,10.4,A,,,0.7,B,C
29Q181,29,P.S. 181 Brookfield,Andrea Belcher,EMS,Elementary,54.62,C,45.5,26.7,24.4,C,8.3,D,9.5,B,,,3.3,D,C
29Q192,29,I.S. 192 The Linden,Harriett Diaz,EMS,Middle,2.26,A,69.9,82.0,35.6,B,15.5,B,14.6,A,,,4.2,C,B
29Q195,29,P.S. 195 William Haberle,Beryl Bailey,EMS,Elementary,51.74,C,48.0,35.6,27.3,C,7.9,D,9.4,B,,,3.4,A,D
29Q208,29,P.S. / I.S. 208,James Philemy,EMS,K-8,39.46,B,53.5,49.4,24.3,C,16.5,A,10.4,A,,,2.3,B,B
29Q231,29,I.S. 231 Magnetech 2000,Emmanuel Lubin,EMS,Middle,2.30,,.,.,.,,.,,.,,,,.,.,D
29Q238,29,I.S. 238 Susan B Anthony,Peter Leddy,EMS,Middle,2.74,C,44.4,22.9,23.3,C,12.8,C,6.2,C,,,2.1,B,C
29Q259,29,Pathways College Preparatory School: A College B,Kimberly Mitchell,EMS,Middle,2.50,C,41.0,16.0,18.6,D,14.0,B,5.5,C,,,2.8,C,C
29Q268,29,PS/IS 268,Lissa Grant-Stewart,EMS,K-8,42.25,C,45.9,28.1,26.3,C,11.2,C,4.2,F,,,4.2,D,B
29Q270,29,The Gordon Parks School,Eleanor S. Andrew,EMS,K-8,44.43,B,53.5,49.4,25.6,C,14.4,B,9.5,B,,,4.0,C,C
29Q283,29,Preparatory Academy for Writers: A College Board,Charles Anderson,EMS,Middle,2.58,B,57.6,56.6,28.4,C,16.1,B,10.7,A,,,2.4,A,C
29Q295,29,P.S./I.S. 295,Deon Lavigne,EMS,K-8,34.55,C,41.6,16.3,14.9,F,18.1,A,6.1,C,,,2.5,A,B
29Q327,29,EAGLE ACADEMY FOR YOUNG MEN III,Kenyatte Reid,EMS,Middle,2.59,C,49.3,33.7,25.7,C,11.8,C,9.7,B,,,2.1,.,.
29Q355,29,Collaborative Arts Middle School,Tammy Holloway,EMS,Middle,2.21,,.,.,.,,.,,.,,,,.,.,.
29Q356,29,Community Voices Middle School,Tamra Collins,EMS,Middle,2.33,,.,.,.,,.,,.,,,,.,.,.
30Q002,30,P.S. 002 Alfred Zimberg,Joseph Taddeo,EMS,Elementary,31.12,B,57.9,59.8,34.5,B,12.9,B,7.3,C,,,3.2,B,A
30Q010,30,I.S. 010 Horace Greeley,Clemente Lopes,EMS,Middle,2.75,B,57.2,55.3,30.1,C,16.0,B,9.0,B,,,2.1,A,B
30Q011,30,P.S. 011 Kathryn Phelan,Anna Efkarpides,EMS,Elementary,37.92,A,71.4,87.9,40.9,A,17.6,A,10.1,A,,,2.8,A,B
30Q017,30,P.S. 017 Henry David Thoreau,Cynthia Dickman,EMS,Elementary,48.85,C,42.9,21.8,25.7,C,8.7,D,4.9,D,,,3.6,A,C
30Q069,30,P.S. 069 Jackson Heights,Martha Vazquez,EMS,Elementary,33.61,A,65.8,78.0,35.1,B,18.5,A,9.7,A,,,2.5,A,A
30Q070,30,P.S. 070 Queens,Donna Geller,EMS,Elementary,34.98,C,39.2,15.1,20.3,D,10.9,C,6.0,C,,,2.0,B,C
30Q076,30,P.S. 076 William Hallet,Mary Schafenberg,EMS,Elementary,60.00,B,53.8,50.3,32.6,B,10.3,C,6.8,C,,,4.1,B,A
30Q078,30,P.S. 078,Louis Pavone,EMS,Elementary,28.75,A,69.5,85.9,34.4,B,18.5,A,13.5,A,,,3.0,B,B
30Q084,30,P.S. 084 Steinway,John Buffa,EMS,K-8,34.40,C,43.0,21.9,21.1,D,12.2,C,6.3,C,,,3.4,B,C
30Q085,30,P.S. 085 Judge Charles Vallone,Ann Gordon-Chang,EMS,Elementary,28.34,C,48.2,36.1,21.6,C,16.0,B,8.1,B,,,2.5,C,C
30Q092,30,P.S. 092 Harry T. Stewart Sr.,Pasquale Baratta,EMS,Elementary,61.74,A,68.1,82.8,36.4,B,15.4,B,12.2,A,,,4.1,B,A
30Q111,30,P.S. 111 Jacob Blackwell,Randy Seabrook,EMS,K-8,61.34,B,53.3,46.3,32.8,B,9.2,D,7.9,B,,,3.4,C,C
30Q112,30,P.S. 112 Dutch Kills,Rafael Campos-Gatjens,EMS,Elementary,50.22,A,67.9,82.1,46.3,A,11.8,C,6.4,C,,,3.4,C,B
30Q122,30,P.S. 122 Mamie Fay,Pamela Sabel,EMS,K-8,23.52,A,70.3,85.0,37.2,B,22.1,A,8.8,B,,,2.2,A,A
30Q126,30,Albert Shanker School for Visual and Performing,Alexander Angueira,EMS,Middle,2.30,A,66.6,76.8,37.1,B,16.5,A,8.7,B,,,4.3,B,C
30Q127,30,P.S. 127 Aerospace Science Magne,Evita Sanabria,EMS,K-8,54.03,C,47.9,34.4,30.2,C,9.6,C,4.2,F,,,3.9,B,B
30Q141,30,I.S. 141 The Steinway,Miranda Pavlou,EMS,Middle,2.86,A,81.0,93.4,45.8,A,21.3,A,10.8,A,,,3.1,A,A
30Q145,30,I.S. 145 Joseph Pulitzer,Dolores Beckham,EMS,Middle,2.72,B,61.7,66.9,31.3,B,15.5,B,11.6,A,,,3.3,B,B
30Q148,30,P.S. 148 Queens,Andrew Paccione Jr.,EMS,Elementary,52.20,B,55.8,54.8,30.4,B,12.9,B,8.9,B,,,3.5,D,B
30Q149,30,P.S. 149 Christa Mcauliffe,Esther Salorio,EMS,Elementary,55.60,A,65.3,76.4,33.4,B,17.7,A,11.6,A,,,2.6,A,B
30Q150,30,P.S. 150 Queens,Carmen Parache,EMS,Elementary,36.45,A,67.0,80.5,36.8,B,20.2,A,7.0,C,,,3.0,A,B
30Q151,30,P.S. 151 Mary D. Carter,Jason Goldner,EMS,Elementary,50.44,C,46.3,30.0,32.8,B,7.2,D,2.6,F,,,3.7,D,C
30Q152,30,Q152 - P.S. 152 Gwendoline N. Alleyne School,Vincent Vitolo,EMS,Elementary,36.26,A,75.7,92.6,43.6,A,18.9,A,10.3,A,,,2.9,A,A
30Q166,30,P.S. 166 Henry Gradstein,Janet Farrell/Jessica Gelle,EMS,Elementary,41.72,A,66.4,78.9,36.0,B,17.3,A,9.9,A,,,3.2,B,B
30Q171,30,P.S. 171 Peter G. Van Alst,Anne Bussel,EMS,Elementary,52.32,C,48.8,36.9,28.2,C,11.0,C,7.4,B,,,2.1,B,C
30Q204,30,I.S. 204 Oliver W. Holmes,Yvonne Leimsider,EMS,Middle,2.57,B,52.9,45.0,27.6,C,16.0,B,6.4,C,,,2.9,C,A
30Q212,30,P.S. 212,Carin Ilene Ellis,EMS,Elementary,46.76,A,67.3,81.3,38.7,B,17.3,A,8.7,B,,,2.6,A,B
30Q227,30,I.S. 227 Louis Armstrong,William Fahey,EMS,Middle,3.06,B,61.1,64.1,30.8,C,18.4,A,9.3,B,,,2.6,A,A
30Q230,30,I.S. 230,Sharon Terry,EMS,Middle,2.92,B,64.9,73.8,37.3,B,18.1,A,7.3,C,,,2.2,B,A
30Q234,30,P.S. 234,Thea Pallos,EMS,Elementary,37.24,C,49.6,38.4,22.7,C,16.0,B,9.2,B,,,1.7,C,A
30Q235,30,Academy for New Americans,Carmen Rivera,EMS,Middle,2.93,A,87.6,96.1,60.0,A,7.8,D,14.9,A,,,4.9,A,A
30Q286,30,"Young Women's Leadership School, Astoria",Laura A Mitchell,EMS,Middle,3.16,C,47.6,29.8,18.0,D,16.8,A,12.0,A,,,0.8,B,A
30Q580,30,Baccalaureate School for Global Education,Kelly Joan Johnson,EMS,Middle,3.97,B,55.4,50.6,22.3,C,23.3,A,8.8,B,,,1.0,B,B
31R001,31,P.S. 001 Tottenville,Diane Gordin,EMS,Elementary,18.88,B,50.6,41.5,21.7,C,18.3,A,7.3,C,,,3.3,B,B
